d,d_A,b,d_1,a,C_dyn,C_stat,n_lim,m,Name
20,42,12,28.9,12,14500,8000,20500,0.061,7004-B-XL-TVP
20,47,14,30.5,21,14000,7800,19700,0.106,7204-B-XL-JP
20,52,15,33,23,20400,11100,17600,0.147,7304-B-XL-TVP
25,47,12,33.9,21,16000,9900,18100,0.071,7005-B-XL-TVP
25,52,15,35.5,24,15300,9000,17400,0.127,7205-B-XL-TVP
25,62,17,39.9,27,28000,15800,14300,0.223,7305-B-XL-TVP
25,80,21,48.2,33,43500,26000,15100,0.585,7405-B-XL-MP
30,55,13,41.3,24,19900,13400,15200,0.109,7006-B-XL-TVP
30,62,16,43.2,27,21700,14100,14400,0.197,7206-B-XL-TVP
30,72,19,47.1,31,35500,22100,12300,0.341,7306-B-XL-TVP
30,90,23,55.3,37,51000,30500,13100,0.791,7406-B-XL-MP
35,62,14,47,27,24300,17200,13400,0.14,7007-B-XL-TVP
35,72,17,50.2,31,28000,19000,12200,0.282,7207-B-XL-TVP
35,80,21,53.1,35,43000,27500,10800,0.48,7307-B-XL-JP
35,100,25,66.7,41,65000,43000,11000,1.014,7407-B-XL-MP
40,68,15,51.9,30,28000,20300,12100,0.176,7008-B-XL-TVP
40,80,18,56.4,34,34000,23500,10900,0.367,7208-B-XL-TVP
40,90,23,60,39,53000,34500,9500,0.61,7308-B-XL-TVP
40,110,27,73.1,45,75000,50000,9900,1.338,7408-B-XL-MP
45,85,19,61.2,37,37500,27000,10000,0.405,7209-B-XL-TVP
45,100,25,66.7,43,65000,43000,8400,0.937,7309-B-XL-JP
45,120,29,80.3,49,86000,61000,9100,1.684,7409-B-XL-MP
50,90,20,66.3,39,39000,28500,9300,0.456,7210-B-XL-TVP
50,110,27,73.1,47,75000,50000,7600,1.05,7310-B-XL-TVP
50,130,31,87.3,53,96000,69000,8300,2.054,7410-B-XL-MP
55,100,21,72.6,43,49000,38500,8300,0.604,7211-B-XL-TVP
55,120,29,80.3,51,86000,61000,7000,1.38,7311-B-XL-TVP
55,140,33,95.3,57,110000,82000,7700,2.64,7411-B-XL-MP
60,110,22,80.3,47,59000,45000,7500,0.782,7212-B-XL-JP
60,130,31,87.3,55,96000,69000,6400,1.71,7312-B-XL-TVP
60,150,35,102.3,62,126000,93000,7100,3.106,7412-B-XL-MP
65,120,23,86.3,51,67000,55000,6900,1,7213-B-XL-TVP
65,140,33,95.3,60,110000,82000,5900,2.12,7313-B-XL-TVP
65,160,37,109.2,66,140000,107000,6600,3.709,7413-B-XL-MP
70,90,10,78,38.5,15800,17200,9000,0.14,71814--B-TVH
70,125,24,92.3,53,74000,62000,6500,1.08,7214-B-XL-TVP
70,150,35,102.3,64,126000,93000,5500,2.58,7314-B-XL-TVP
70,180,42,123.1,73,167000,138000,5800,5.386,7414-B-XL-MP
75,95,10,83,40.7,16200,18100,8500,0.15,71815-B-TVH
75,130,25,96.5,56,73000,62000,6300,1.16,7215-B-XL-TVP
75,160,37,109.2,68,140000,107000,5100,3.1,7315-B-XL-TVP
75,190,45,123.1,78,167000,138000,5800,6.7,7415-B-XL-MP
80,100,10,88,42.8,16500,19100,8000,0.155,71816-B-TVH
80,140,26,102.9,59,85000,72000,5800,1.42,7216-B-XL-TVP
80,170,39,115.7,72,155000,124000,4750,3.66,7316-B-XL-TVP
80,200,48,129,83,200000,169000,5300,7.477,7416-B-XL-MP
85,150,28,110.6,63,97000,86000,5400,1.82,7217-B-XL-TVP
85,180,41,122,76,167000,138000,4450,4.26,7317-B-XL-TVP
90,160,30,117.5,67,114000,98000,5000,2.21,7218-B-XL-TVP
90,190,43,130.1,80,180000,155000,4200,5,7318-B-XL-TVP
95,170,32,125.3,72,123000,106000,4700,2.64,7219-B-XL-TVP
95,200,45,137.1,84,189000,167000,4000,5.78,7319-B-XL-TVP
100,180,34,132.3,76,148000,132000,4400,3.17,7220-B-XL-TVP
100,215,47,146.3,90,214000,197000,3700,7.16,7320-B-XL-TVP
105,190,36,138.2,80,155000,142000,5400,4.18,7221-B-XL-MP
105,225,49,154,94,225000,214000,4600,9.3,7321-B-XL-MP
110,200,38,144.9,84,167000,154000,3950,4.44,7222-B-XL-TVP
110,240,50,162.3,98,250000,245000,3300,9.74,7322-B-XL-TVP
120,215,40,157.2,90,182000,178000,3650,5.4,7224-B-XL-TVP
120,260,55,176.4,107,275000,285000,3050,12.52,7324-B-XL-TVP
130,230,40,169.6,96,200000,204000,3400,6.12,7226-B-XL-TVP
130,280,58,188.5,115,305000,325000,2800,15.1,7326-B-XL-TVP
