d,d_A,b,d_1,C_dyn,C_stat,n_lim,f0,m,Name
30,47,9,35.1,7700,5000,21700,15.7,0.051,61906
30,55,9,39.3,11900,7300,18900,15.1,0.082,16006
30,55,13,38.3,13500,8000,18500,14.8,0.122,6006
30,62,16,37.5,20800,11300,17800,13.8,0.195,6206-C
30,72,19,41.3,32000,16200,15100,13,0.328,6306-C
30,90,23,55.6,45500,25000,10800,13,0.74,6406
35,55,10,41.6,10100,6800,18300,15.7,0.076,61907
35,62,14,43.2,17000,10300,16100,14.9,0.157,6007
35,62,9,44.3,13000,8800,16700,15.6,0.105,16007
35,72,17,44.5,28000,15400,15000,13.9,0.262,6207-C
35,80,21,46,37000,19100,13600,13.1,0.434,6307-C
35,100,25,62.3,56000,31500,9500,12.9,0.971,6407
40,62,12,46.9,14500,9900,15800,15.5,0.117,61908
40,68,9,48.9,14100,10200,15700,15.8,0.127,16008
40,68,15,49.3,17800,11500,12400,15.2,0.2,6008
40,80,18,49.2,31500,17800,13600,14,0.345,6208-C
40,90,23,52.1,47000,25000,11800,13,0.6,6308-C
40,110,27,68,68000,38500,9500,13.3,1.23,6408
45,68,12,52.4,15000,10900,14400,16,0.135,61909
45,75,10,54.2,16500,12300,13100,16.1,0.16,16009
45,75,16,54.2,21200,14400,13100,15.3,0.247,6009
45,85,19,53.9,34000,20300,12700,14.3,0.396,6209-C
45,100,25,60.3,58000,31500,10500,12.9,0.83,6309-C
45,120,29,75.2,83000,47500,8500,12.9,1.55,6409
50,72,12,56.9,15400,11700,13400,16.1,0.83,61910
50,80,10,59.7,17100,13200,12500,16.2,0.175,16010
50,80,16,59.8,22000,15800,12200,15.6,0.272,6010
50,90,20,59.1,38000,23200,11700,14.4,0.431,6210-C
50,110,27,66.7,68000,38000,9500,13.1,1.1,6310-C
50,130,31,81.3,89000,52000,7900,13.2,1.96,6410
55,80,13,63.2,17700,14100,12100,16.3,0.185,61911
55,90,11,65.6,20600,16300,10900,16.2,0.26,16011
55,90,18,66.2,30000,21200,10700,15.3,0.385,6011
55,100,21,68.9,46000,29000,9500,14.2,0.618,6211
55,120,29,72.5,83000,47500,8500,12.9,1.33,6311-C
60,85,13,68.2,17400,14300,11300,16.5,0.206,61912
60,95,11,72.1,21200,17500,10500,16.3,0.283,16012
60,95,18,71.3,31500,23200,10100,15.6,0.419,6012
60,110,22,75.8,57000,36500,9300,14.5,0.791,6212
60,130,31,79.6,89000,52000,7900,13.2,1.71,6312-C
60,150,35,95.1,115000,69000,6800,13.4,2.83,6412
65,90,13,72.6,18500,16100,10600,16.6,0.212,61913
65,100,11,77.1,22500,19700,9900,16.5,0.302,16013
65,100,18,76.2,32500,25000,9500,15.7,0.448,6013
65,120,23,82.3,63000,41500,8600,14.4,1,6213
65,140,33,85.6,101000,60000,7300,13.2,2.07,6313-C
65,160,37,101.7,123000,77000,6300,13.2,3.49,6413
70,100,16,79.7,25000,21200,9500,16.4,0.34,61914
70,110,13,83.7,29500,25000,8900,16.2,0.438,16014
70,110,20,82.8,40500,31000,8600,15.6,0.622,6014
70,125,24,86.8,66000,44000,8200,14.4,1.09,6214
70,150,35,95.1,115000,69000,6800,13.4,2.55,6314
70,180,42,114.4,141000,97000,5000,13.3,5.06,6414
75,105,16,84.7,26000,22600,9000,16.5,0.36,61915
75,115,13,88.7,30500,27000,8400,16.5,0.463,16015
75,115,20,88.1,42000,33500,8100,15.8,0.654,6015
75,130,25,92.1,70000,49000,7800,14.6,1.19,6215
75,160,37,101.8,123000,77000,6300,13.2,3.18,6315
75,190,45,114.4,141000,97000,6600,13.3,7,6415-M
80,110,16,89.7,26500,24000,8500,16.6,0.385,61916
80,125,14,96.8,34000,31500,7700,16.6,0.609,16016
80,125,22,94,51000,40000,7500,15.7,0.845,6016
80,140,26,98.8,77000,55000,7300,15,1.46,6216
80,170,39,108.6,131000,87000,5400,13.3,3.75,6316
80,200,48,117.9,173000,125000,5900,12.3,8.29,6416-M
