d,d_A,b,a,d_1,e,Y,Y_0,C_dyn,C_stat,n_lim,m,Name
20,37,12,8,29.5,0.32,1.88,1.04,15700,18400,21100,0.053,32904
20,42,15,10,33.1,0.37,1.6,0.88,24000,28500,19900,0.111,32004-X-XL
20,45,14,11,32.9,0.45,1.34,0.73,22200,21100,17500,0.103,T4DB020
20,47,15.25,12,34.7,0.35,1.74,0.96,32000,27500,18500,0.121,30204-XL
20,47,19.25,13,33.9,0.33,1.81,1,40500,36500,18400,0.165,32204-XL
20,50,22,14,35,0.33,1.8,0.99,46000,49000,15400,0.23,T2ED020
22,47,14,12,34.9,0.47,1.27,0.7,23300,22800,16600,0.109,T4CB022
22,52,22,14,36.9,0.33,1.84,1.01,47500,51000,14600,0.239,T2ED022
25,42,12,9,34.2,0.32,1.88,1.04,14900,18800,18000,0.067,32905
25,47,15,12,38.5,0.43,1.39,0.77,31500,34000,17200,0.117,32005-X-XL
25,47,17,11,37.3,0.29,2.07,1.14,33000,41500,15700,0.133,33005
25,50,14,13,38,0.51,1.18,0.65,24200,24600,15300,0.121,T4CB025
25,52,22,14,39.6,0.35,1.71,0.94,48500,58000,14200,0.222,33205
25,52,16.25,13,38.5,0.37,1.6,0.88,38500,35500,16400,0.154,30205-XL
25,52,19.25,14,39.5,0.36,1.67,0.92,47500,45000,15900,0.186,32205-XL
28,55,15,13,41.4,0.47,1.27,0.7,30000,31000,13900,0.151,T4CB028
28,65,27,18,45.6,0.34,1.77,0.97,71000,78000,11600,0.451,T2ED028
30,47,12,9,39.2,0.32,1.88,1.04,16300,22000,15900,0.077,32906
30,55,17,14,43.9,0.43,1.39,0.77,46000,47000,14600,0.174,32006-X-XL
30,55,20,13,43.8,0.29,2.06,1.13,53000,57000,14500,0.212,33006-XL
30,60,17,15,44.6,0.47,1.27,0.7,38000,38500,12600,0.207,T4CB030
30,62,17.25,14,46.2,0.37,1.6,0.88,52000,48500,13700,0.238,30206-XL
30,62,21.25,16,46.8,0.37,1.6,0.88,63000,62000,13300,0.28,32206-XL
30,62,25,16,46.9,0.34,1.76,0.97,77000,78000,13000,0.365,33206-XL
30,68,29,19,48.8,0.33,1.81,1,80000,93000,10900,0.534,T2EE030
30,72,20.75,15,50.1,0.32,1.9,1.05,77000,61000,12100,0.445,30306-XL
32,65,18,16,48,0.47,1.27,0.7,43500,45000,11700,0.262,T4DB032
32,72,29,19,51.1,0.34,1.78,0.98,87000,100000,10400,0.594,T2ED032
35,55,14,11,45.7,0.29,2.06,1.13,27500,38000,13200,0.127,32907
35,62,21,14,49.2,0.31,1.97,1.08,53000,70000,11500,0.273,33007
35,62,18,15,50.1,0.45,1.32,0.73,54000,57000,12800,0.225,32007-X-XL
35,72,18.25,15,53.4,0.37,1.6,0.88,64000,59000,11700,0.336,30207-XL
35,72,24.25,18,53.9,0.37,1.6,0.88,84000,85000,11400,0.449,32207-XL
